# Grado	Estrés	Rock
1.00	-0.32	-1.32
3.00	0.83	0.48
2.00	1.18	-0.89
1.00	-0.81	-0.88
1.00	-0.82	-0.32
0.00	-0.25	0.87
2.00	0.94	-0.55
0.00	-0.47	0.62
0.00	0.25	-0.04
3.00	0.70	0.90
1.00	-1.19	-0.63
1.00	-1.21	-0.93
0.00	-0.80	1.12
3.00	0.43	0.63
2.00	1.39	-1.29
0.00	-0.46	0.73
0.00	-0.25	-0.14
3.00	0.22	-0.38
3.00	0.60	0.19
1.00	-0.87	-1.06
1.00	-0.76	-1.54
0.00	-0.65	0.56
0.00	-0.54	0.66
0.00	-1.45	0.51
1.00	-0.89	-0.43
3.00	0.42	0.03
0.00	-1.21	0.64
2.00	1.44	-1.23
3.00	0.36	0.53
3.00	0.13	0.49
0.00	-0.07	0.32
3.00	0.48	0.60
3.00	-0.03	0.70
2.00	1.02	-0.75
1.00	-1.46	-0.98
3.00	-0.15	0.38
1.00	-0.82	-0.93
2.00	1.09	-0.35
3.00	0.13	0.87
0.00	-0.39	1.20
1.00	-1.08	-1.27
0.00	-0.26	0.35
1.00	-1.26	-0.61
1.00	-1.11	-0.55
1.00	-0.69	-0.90
2.00	0.55	-1.01
0.00	-0.86	-0.29
2.00	0.82	-1.08
1.00	-0.91	-0.96
1.00	-1.04	-0.99
0.00	-0.78	1.11
1.00	-0.47	-0.92
3.00	0.14	0.42
3.00	0.37	0.42
1.00	-0.99	-1.34
1.00	-1.01	-1.13
1.00	-0.91	-0.92
1.00	-0.60	-1.26
2.00	1.10	-0.09
0.00	-0.68	0.24
3.00	0.67	0.42
3.00	0.56	-0.01
3.00	0.70	0.73
1.00	-2.12	-1.48
1.00	-0.47	-1.39
3.00	0.65	0.54
2.00	0.34	-1.71
0.00	-0.78	0.01
3.00	0.30	0.27
1.00	-0.90	-1.15
3.00	0.33	0.66
1.00	-0.85	-0.92
2.00	0.84	-1.59
1.00	-0.86	-0.73
2.00	1.33	-0.90
1.00	-1.13	-1.00
1.00	-1.58	-1.63
0.00	-0.21	0.55
1.00	-1.32	-1.09
1.00	-0.90	-0.58
3.00	0.96	0.49
3.00	0.76	0.35
2.00	0.81	-0.49
1.00	-0.67	-0.79
1.00	-1.24	-1.18
1.00	-0.85	-0.41
1.00	-0.80	-1.05
2.00	1.39	-1.03
3.00	0.37	0.30
2.00	0.86	-0.99
1.00	-0.62	-0.91
2.00	0.42	-0.85
3.00	0.91	0.33
2.00	1.33	-0.81
2.00	1.02	-0.76
3.00	0.04	0.21
0.00	-0.65	0.12
0.00	-0.89	0.63
2.00	1.35	-0.52
0.00	-1.14	0.15
0.00	-0.33	0.77
0.00	-0.45	0.35
1.00	-1.06	-0.58
2.00	0.34	-0.57
3.00	0.43	0.86
1.00	-1.36	-1.79
0.00	-0.22	0.78
2.00	0.98	-1.24
1.00	-0.94	-0.58
0.00	-0.55	0.95
3.00	0.15	0.26
0.00	-0.74	0.05
3.00	0.82	0.22
1.00	-0.34	-1.62
3.00	0.81	0.09
1.00	-0.89	-1.32
2.00	0.35	-1.05
2.00	0.41	-1.52
1.00	-1.01	-0.87
3.00	0.56	0.35
1.00	-1.15	-1.72
1.00	-1.41	-1.17
2.00	1.19	-1.04
0.00	-0.59	0.07
0.00	-0.34	-0.61
3.00	-0.09	0.90
2.00	1.37	-0.78
2.00	0.65	-1.27
2.00	1.60	-0.32
0.00	-0.19	0.83
3.00	-0.12	0.34
1.00	-0.82	-0.62
0.00	-0.66	0.99
1.00	-0.73	-2.01
