# Estrés	Rock
-0.32	-1.32
0.83	0.48
1.18	-0.89
-0.81	-0.88
-0.82	-0.32
-0.25	0.87
0.94	-0.55
-0.47	0.62
0.25	-0.04
0.70	0.90
-1.19	-0.63
-1.21	-0.93
-0.80	1.12
0.43	0.63
1.39	-1.29
-0.46	0.73
-0.25	-0.14
0.22	-0.38
0.60	0.19
-0.87	-1.06
-0.76	-1.54
-0.65	0.56
-0.54	0.66
-1.45	0.51
-0.89	-0.43
0.42	0.03
-1.21	0.64
1.44	-1.23
0.36	0.53
0.13	0.49
-0.07	0.32
0.48	0.60
-0.03	0.70
1.02	-0.75
-1.46	-0.98
-0.15	0.38
-0.82	-0.93
1.09	-0.35
0.13	0.87
-0.39	1.20
-1.08	-1.27
-0.26	0.35
-1.26	-0.61
-1.11	-0.55
-0.69	-0.90
0.55	-1.01
-0.86	-0.29
0.82	-1.08
-0.91	-0.96
-1.04	-0.99
-0.78	1.11
-0.47	-0.92
0.14	0.42
0.37	0.42
-0.99	-1.34
-1.01	-1.13
-0.91	-0.92
-0.60	-1.26
1.10	-0.09
-0.68	0.24
0.67	0.42
0.56	-0.01
0.70	0.73
-2.12	-1.48
-0.47	-1.39
0.65	0.54
0.34	-1.71
-0.78	0.01
0.30	0.27
-0.90	-1.15
0.33	0.66
-0.85	-0.92
0.84	-1.59
-0.86	-0.73
1.33	-0.90
-1.13	-1.00
-1.58	-1.63
-0.21	0.55
-1.32	-1.09
-0.90	-0.58
0.96	0.49
0.76	0.35
0.81	-0.49
-0.67	-0.79
-1.24	-1.18
-0.85	-0.41
-0.80	-1.05
1.39	-1.03
0.37	0.30
0.86	-0.99
-0.62	-0.91
0.42	-0.85
0.91	0.33
1.33	-0.81
1.02	-0.76
0.04	0.21
-0.65	0.12
-0.89	0.63
1.35	-0.52
-1.14	0.15
-0.33	0.77
-0.45	0.35
-1.06	-0.58
0.34	-0.57
0.43	0.86
-1.36	-1.79
-0.22	0.78
0.98	-1.24
-0.94	-0.58
-0.55	0.95
0.15	0.26
-0.74	0.05
0.82	0.22
-0.34	-1.62
0.81	0.09
-0.89	-1.32
0.35	-1.05
0.41	-1.52
-1.01	-0.87
0.56	0.35
-1.15	-1.72
-1.41	-1.17
1.19	-1.04
-0.59	0.07
-0.34	-0.61
-0.09	0.90
1.37	-0.78
0.65	-1.27
1.60	-0.32
-0.19	0.83
-0.12	0.34
-0.82	-0.62
-0.66	0.99
-0.73	-2.01
1.11	-1.28
0.30	-0.31
1.45	-1.63
0.60	-0.18
-0.58	-0.93
1.20	-1.02
-1.17	0.14
0.47	0.60
-0.54	-0.16
0.58	-1.22
-0.42	0.89
-0.92	-0.72
0.89	-1.24
-0.61	-0.80
0.09	0.04
1.67	-1.66
0.15	0.99
1.01	-1.03
-0.50	0.79
-1.04	0.20
-0.78	-0.71
-1.23	0.62
1.18	-1.16
-0.16	0.24
0.38	-1.20
0.34	0.32
0.45	-1.01
0.98	-0.97
0.14	0.45
1.08	0.15
1.40	-0.79
0.39	-1.68
-1.08	0.02
1.53	-1.13
-0.54	0.10
-1.63	-0.10
1.29	0.69
-0.62	-0.47
1.57	-1.39
-0.51	-1.08
